country,location_name,latitude,longitude,last_update_Date,last_updated_time,temperature_celsius,condition_text,wind_kph,pressure_in,precip_in,humidity,cloud
Trinidad and Tobago,Port Of Spain,10.65,-61.52,30-Aug-24,08:15:00,28.1,Partly Cloudy,3.6,29.94,0,89,25
Cuba,Havana,23.13,-82.36,31-Aug-24,08:00:00,23.2,Partly Cloudy,3.6,29.94,0,100,25
Spain,Madrid,40.4,-3.68,03-Sep-24,14:15:00,28.3,Partly Cloudy,3.6,29.94,0,45,25
Macedonia,Skopje,42,21.43,04-Sep-24,14:00:00,36.3,Partly Cloudy,3.6,29.94,0,22,25
Mali,Bamako,12.65,-8,12-Sep-24,12:15:00,30.4,Partly Cloudy,3.6,29.94,0,59,25
Slovakia,Bratislava,48.15,17.12,25-Sep-24,11:30:00,17.2,Partly Cloudy,3.6,29.94,0,83,25
Congo,Brazzaville,-4.2592,15.2847,19-Nov-24,09:45:00,27.1,Partly Cloudy,3.6,29.94,0,74,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,19-Nov-24,09:45:00,27.1,Partly Cloudy,3.6,29.94,0,74,25
Thailand,Nan,18.7833,100.7833,28-Dec-24,17:45:00,29.2,Partly Cloudy,3.6,29.94,0,52,25
Congo,Brazzaville,-4.2592,15.2847,31-Dec-24,11:30:00,27.2,Partly Cloudy,3.6,29.94,0,74,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,31-Dec-24,11:30:00,27.2,Partly Cloudy,3.6,29.94,0,74,25
Congo,Brazzaville,-4.2592,15.2847,14-Feb-25,11:00:00,28.1,Partly Cloudy,3.6,29.94,0,70,25
Democratic Republic of Congo,Kinshasa,-4.3,15.3,14-Feb-25,11:00:00,28.1,Partly Cloudy,3.6,29.94,0,70,25
Burundi,Bujumbura,-3.3761,29.36,18-Feb-25,12:15:00,29,Partly Cloudy,3.6,29.94,0,62,25
Burundi,Bujumbura,-3.3761,29.36,19-Feb-25,12:15:00,29.3,Partly Cloudy,3.6,29.94,0,55,25
Burundi,Bujumbura,-3.3761,29.36,20-Feb-25,12:00:00,30.2,Partly Cloudy,3.6,29.94,0,55,25
Burundi,Bujumbura,-3.3761,29.36,24-Feb-25,12:00:00,30,Partly Cloudy,3.6,29.94,0,59,25
Burundi,Bujumbura,-3.3761,29.36,01-Mar-25,11:45:00,31.3,Partly Cloudy,3.6,29.94,0,52,25
